/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_25_474.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_25_474.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_25_474.jpg, 0, 0, 0, 7.828356E-05
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_25_583.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_25_583.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_25_583.jpg, 0, 0, 0, 7.776758E-05
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_25_712.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_25_712.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_25_712.jpg, -0.6718745, 0.7879938, 0, 0.5146577
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_25_820.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_25_820.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_25_820.jpg, -0.1701353, 1, 0, 1.526131
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_26_021.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_26_021.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_26_021.jpg, 0, 1, 0, 4.063348
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_26_132.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_26_132.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_26_132.jpg, 0, 1, 0, 5.228588
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_26_237.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_26_237.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_26_237.jpg, 0, 1, 0, 6.38243
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_26_342.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_26_342.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_26_342.jpg, -0.008276584, 1, 0, 7.75227
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_26_451.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_26_451.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_26_451.jpg, -0.09116516, 1, 0, 8.87935
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_26_556.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_26_556.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_26_556.jpg, -0.1489987, 1, 0, 9.992699
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_26_664.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_26_664.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_26_664.jpg, -0.1645215, 1, 0, 11.31633
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_26_779.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_26_779.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_26_779.jpg, -0.169005, 1, 0, 12.44927
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_26_890.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_26_890.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_26_890.jpg, -0.1726596, 1, 0, 13.79265
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_26_998.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_26_998.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_26_998.jpg, -0.1741667, 1, 0, 14.69314
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_27_094.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_27_094.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_27_094.jpg, -0.1778967, 1, 0, 15.92046
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_27_212.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_27_212.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_27_212.jpg, -0.1806847, 1, 0, 17.18981
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_27_323.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_27_323.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_27_323.jpg, -0.181928, 1, 0, 18.41952
/Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/center_2023_06_27_02_34_27_435.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/left_2023_06_27_02_34_27_435.jpg, /Users/hectorsalvadormontanezalvarez/Desktop/Test sim/IMG/right_2023_06_27_02_34_27_435.jpg, -0.181928, 1, 0, 19.29125
